aX,aY,aZ,gX,gY,gZ
-2.226,-0.355,-2.115,-266.479,953.186,-176.208
-2.697,-0.106,-2.045,-342.041,1067.810,-63.599
-2.526,-0.337,-1.238,-419.556,1169.556,114.807
-2.553,-0.674,-0.280,-468.140,1192.688,211.609
-2.118,-1.120,0.430,-514.954,1120.728,379.089
-1.740,-1.261,0.737,-471.313,973.450,399.780
-0.511,-1.059,1.107,-441.895,860.596,381.287
0.932,-0.212,1.142,-368.958,593.384,350.159
1.625,0.141,1.274,-271.484,460.937,279.358
2.705,0.482,2.084,-206.726,411.926,201.843
3.400,0.776,2.837,-23.132,58.044,-18.921
3.097,0.747,2.718,65.247,-218.506,-139.526
1.203,-0.010,2.614,199.646,-682.373,-327.698
-0.153,-0.537,2.232,308.960,-1076.721,-426.819
-0.651,-0.777,1.987,318.604,-1216.553,-451.843
-1.011,-0.678,1.812,253.784,-1321.533,-464.661
-1.202,-0.549,1.764,262.512,-1279.053,-474.976
-1.294,-0.424,1.375,321.167,-1224.854,-480.652
-1.307,-0.114,0.067,478.394,-1059.265,-434.753
-1.512,0.103,-1.254,546.204,-877.441,-331.604
-1.928,-0.091,-1.850,507.141,-782.410,-263.489
-2.352,0.080,-2.972,366.882,-633.911,-109.375
-2.252,-0.126,-3.552,156.799,-413.452,-2.869
-1.917,-0.272,-3.572,81.726,-250.305,49.072
-1.594,-0.609,-3.083,-14.343,140.137,66.284
-1.461,-0.971,-2.307,-59.937,449.829,13.733
-1.469,-0.923,-2.028,-78.491,562.195,-12.329
-1.627,-0.691,-1.950,-104.492,718.018,-45.776
-1.815,-0.505,-1.941,-169.922,795.532,-37.292
-1.840,-0.392,-1.892,-219.299,815.491,-8.850
-1.954,-0.383,-1.536,-330.872,852.295,103.088
-1.691,-0.663,-0.707,-438.538,888.428,241.638
-1.671,-0.796,-0.301,-479.248,882.507,304.687
-1.224,-0.920,0.344,-485.046,839.417,386.292
-0.465,-0.777,0.678,-408.081,746.094,357.666
-0.081,-0.580,0.684,-365.845,654.602,339.905
0.677,-0.122,0.460,-283.142,479.004,315.063
1.095,0.288,0.306,-228.210,411.621,273.315
1.084,0.331,0.289,-211.304,402.344,243.774
0.954,0.335,0.397,-182.190,384.155,190.613
0.967,0.289,0.492,-150.757,333.313,146.667
1.056,0.305,0.522,-134.216,307.068,127.319
