aX,aY,aZ,gX,gY,gZ
1.045,-0.581,0.500,265.137,114.685,-564.026
0.758,-0.447,0.391,280.762,101.929,-587.097
0.367,-0.290,0.334,286.682,96.497,-588.623
0.197,-0.167,0.321,286.438,86.426,-573.792
-0.001,0.013,0.203,289.673,78.491,-526.917
-0.142,0.246,0.085,294.678,121.765,-471.375
-0.166,0.399,-0.020,292.664,148.560,-444.702
-0.267,0.396,-0.057,263.000,158.813,-410.828
-0.494,0.387,-0.133,256.653,178.467,-369.873
-0.622,0.317,-0.127,250.183,154.114,-346.069
-0.942,0.620,-0.365,238.403,119.141,-266.052
-1.020,0.701,-0.618,223.328,44.006,-221.069
-1.009,0.764,-0.688,207.458,2.869,-190.125
-0.771,0.720,-0.878,143.555,-41.016,-125.122
-0.863,0.914,-0.788,76.782,-50.903,-88.928
-0.839,0.854,-0.708,50.659,-47.058,-72.693
-0.765,0.881,-0.551,2.747,-30.518,-35.217
-0.659,0.857,-0.358,-27.039,-5.249,-2.991
-0.606,0.864,-0.259,-34.546,7.629,7.690
-0.536,0.883,-0.120,-44.312,16.418,20.996
-0.454,0.917,-0.003,-41.138,1.953,35.217
-0.374,0.925,0.021,-36.133,-7.812,38.940
-0.252,0.962,0.042,-26.733,-29.114,42.419
-0.112,1.009,0.051,-18.066,-44.800,42.114
-0.047,1.016,0.033,-15.625,-49.194,42.297
0.043,1.036,0.010,-12.878,-50.232,36.987
0.072,1.057,0.027,-11.292,-37.781,31.860
0.113,1.079,0.013,-11.292,-32.227,28.992
0.133,1.082,0.020,-14.343,-22.461,25.574
0.132,1.090,0.031,-16.907,-22.034,24.414
0.159,1.086,0.041,-18.372,-23.437,23.865
0.208,1.099,0.049,-20.874,-25.513,25.146
0.215,1.081,0.072,-23.560,-29.358,23.682
0.245,1.079,0.096,-24.719,-31.250,23.743
0.276,1.046,0.113,-25.146,-31.433,23.499
0.306,1.044,0.106,-24.658,-37.109,20.142
0.324,1.026,0.174,-22.888,-36.499,17.395
0.324,0.991,0.195,-17.151,-30.884,10.071
0.326,0.982,0.191,-11.719,-27.344,5.554
0.310,0.982,0.187,-4.883,-18.982,0.977
0.299,0.980,0.178,4.395,-13.855,-3.784
0.287,0.977,0.166,6.104,-11.719,-6.470
0.238,0.976,0.166,11.230,-6.226,-9.888
0.231,0.955,0.118,14.221,-3.906,-10.681
0.216,0.959,0.112,14.221,-4.211,-10.498
0.191,0.949,0.087,14.343,-5.554,-11.169
0.198,0.952,0.087,14.404,-5.188,-11.841
0.196,0.950,0.083,13.916,-5.188,-11.108
0.199,0.939,0.084,14.404,-4.761,-10.803
0.196,0.932,0.064,12.146,-0.061,-10.132
0.177,0.955,0.074,12.207,0.427,-11.353
0.182,0.953,0.076,11.719,1.648,-11.292
0.185,0.945,0.076,9.155,0.977,-12.939
0.168,0.970,0.075,9.033,2.747,-12.207
0.147,0.948,0.096,8.484,2.441,-11.719
0.162,0.966,0.124,10.620,0.427,-12.451
0.158,0.979,0.117,10.681,-1.953,-12.939
0.153,0.970,0.127,12.146,-2.197,-13.306
0.145,0.980,0.096,15.015,-4.456,-13.184

1.316,-1.115,-0.227,-166.626,-144.958,715.271
1.623,-1.165,-0.305,-153.076,-175.476,738.098
2.778,-1.347,-0.587,-138.428,-239.563,707.947
3.969,-1.191,-1.237,-151.306,-168.335,549.438
3.969,-0.988,-0.859,-190.002,-74.036,405.029
3.969,-1.047,0.137,-238.953,104.797,101.440
3.668,-1.037,0.845,-215.271,168.579,-131.104
3.422,-1.082,0.958,-167.358,121.155,-219.910
3.202,-1.053,1.027,-69.702,47.302,-374.084
2.985,-1.126,0.876,46.448,51.270,-507.751
2.844,-1.161,0.916,105.591,102.783,-573.364
2.264,-1.374,0.622,214.355,191.650,-689.575
1.820,-1.377,0.449,294.739,266.479,-768.188
1.492,-1.369,0.424,325.623,282.043,-797.485
0.848,-1.177,0.238,367.920,255.859,-815.369
0.412,-0.815,0.248,352.722,138.367,-794.128
0.228,-0.645,0.250,337.036,95.032,-776.611
-0.144,-0.277,0.209,308.533,52.124,-723.755
-0.431,-0.121,0.178,294.189,49.377,-646.057
-0.624,0.189,0.126,293.579,55.908,-602.417
-0.852,0.204,0.078,299.377,82.275,-509.583
-0.800,0.165,-0.147,293.213,105.103,-428.589
-0.986,0.228,-0.295,284.851,99.731,-419.250
-1.329,0.078,-0.428,250.244,72.632,-386.230
